Concept URI,Sprememba
http://data.europa.eu/esco/skill/ecd368bc-6383-4a03-9b61-46e0a94750f7,  + Dodano: instruct on energy saving technologies
http://data.europa.eu/esco/skill/75a7de68-e7f7-4963-a4ed-d839ac7e74af,  - Odstranjeno: create engineering design packages
http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,"  - Staro: carry out parts purchasing
  + Novo: purchase vehicle parts"
http://data.europa.eu/esco/skill/278395f4-20d9-491b-8329-8f9b362700ab,  - Odstranjeno: assist in veterinary surgery
http://data.europa.eu/esco/skill/8622f74f-61b7-4664-862a-7c1dea8041f0,  + Dodano: knowledge management
http://data.europa.eu/esco/skill/f167af5e-096a-4ffd-8340-8306399823a3,"  - Staro: train routes
  + Novo: provide information on train routes"
http://data.europa.eu/esco/skill/9f2de489-cc8d-48ec-b7d9-c3e007c727cd,  - Odstranjeno: transfer aggregate
http://data.europa.eu/esco/skill/440d5784-52a5-4729-8b04-29f978bd896d,  + Dodano: respond to incidents in cloud
http://data.europa.eu/esco/skill/93332790-aa6b-4752-bded-bc23cf7c8fba,"  - Staro: mark a metal workpiece using punch
  + Novo: mark a metal workpiece "
http://data.europa.eu/esco/skill/5d8b0aff-0599-470a-8eef-9e8cb3ad1626,"  - Staro: create an act
  + Novo: create an artistic performance"
http://data.europa.eu/esco/skill/c97ba966-6d85-4f07-bb24-f1f08f962f6c,"  - Staro: build a network of contacts with suppliers of tourist services
  + Novo: build a network of  suppliers in tourism"
http://data.europa.eu/esco/skill/3d69b305-4051-4c1d-ba1e-d8c5b35e22db,"  - Staro: monitor environmental parameters
  + Novo: monitor manufacturing impact"
http://data.europa.eu/esco/skill/df64a7cc-2e96-4304-95d3-56fe0ac2dd39,  + Dodano: design thinking
http://data.europa.eu/esco/skill/35286868-b555-4961-b2e8-dc96a0f13168,  - Odstranjeno: catch poultry on a farm
http://data.europa.eu/esco/skill/a487803e-dc6c-4035-a717-973f24864b1a,  + Dodano: promote evaluation capacity development
http://data.europa.eu/esco/skill/2aff0233-f1f7-4367-be79-d5901ba6f488,  - Odstranjeno: select greeting card sentiments
http://data.europa.eu/esco/skill/aaed3d0a-d82b-4ddb-a3a4-eaef7bc30efa,"  - Staro: report unsafe behaviour
  + Novo: report children unsafe behaviour"
http://data.europa.eu/esco/skill/7d913551-e17a-40ba-baf7-48d0c3b12e50,  + Dodano: predictive maintenance
http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,  + Dodano: computer simulation
http://data.europa.eu/esco/skill/342212c7-5650-4dbd-b7ad-18a6aee8e567,"  - Staro: handle tour contract details
  + Novo: administer tour contract details"
http://data.europa.eu/esco/skill/149e5f0d-eb46-4e75-9265-e91f6b2ca596,  + Dodano: social innovation
http://data.europa.eu/esco/skill/819c55a7-8bc7-423a-9b3b-7adf5a6e6a5b,"  - Staro: send biological samples to laboratory
  + Novo: send samples to laboratory"
http://data.europa.eu/esco/skill/83b493c8-4837-41e3-9800-cff1df06cf38,  + Dodano: configure media integration systems
http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080,  + Dodano: deep learning
http://data.europa.eu/esco/skill/32cbb42d-7b38-4cef-8e5f-5ac7aa32e51b,  - Odstranjeno: carry out calculations in hospitality
http://data.europa.eu/esco/skill/33a0a2ea-025e-4107-8717-39ac45b3b78c,  + Dodano: design management
http://data.europa.eu/esco/skill/93d61edc-e7a2-46d5-a75d-2b12f68110c1,  + Dodano: rural development strategies
http://data.europa.eu/esco/skill/0165e6c7-14d9-47f6-a882-565f8da14526,  + Dodano: water skiing
http://data.europa.eu/esco/skill/722058b4-2b90-453c-8ba1-88f74e8fb645,  + Dodano: compare alternative vehicles
http://data.europa.eu/esco/skill/9dfa1275-c99a-44ba-944e-1db543936253,  - Odstranjeno: provide livestock advice and guidance
http://data.europa.eu/esco/skill/0b370a54-aba5-438d-9b3f-5c739aa57496,  + Dodano: fit low vision aids
http://data.europa.eu/esco/skill/c3c2d9c4-bed3-4312-9cf8-f9bb719f42d2,"  - Staro: declaim
  + Novo: use declaiming techniques"
http://data.europa.eu/esco/skill/2e69fb1e-aad9-4776-8054-ed4e548d086e,  + Dodano: manage youth information services
http://data.europa.eu/esco/skill/3c0574e1-3931-43a5-9c2c-21eced1f1a12,"  - Staro: find new types of food & beverages
  + Novo: find new types of food and beverages"
http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,  + Dodano: think innovatively
http://data.europa.eu/esco/skill/e79a3803-dd53-46b0-906b-13e6d46ef687,  + Dodano: quantum computing
http://data.europa.eu/esco/skill/c2361bea-ce5e-42b5-9af9-0e3e46c48577,  + Dodano: handle metal powder
http://data.europa.eu/esco/skill/ba8b530e-8f6f-4667-b734-3358797c0595,  + Dodano: vehicle type-approval
